"","Gene","NE","ERG","MRG","entrez","cluster"
"1","MAF",0.777359635,1.258183216,0.513071043,4094,3
"2","SOX2",0,-0.340170328,0,6657,4
"3","CTNNB1",-0.779973267,-0.82789144,0,1499,2
"4","SALL1",-0.177470391,-0.223683081,0,6299,6
"5","LGR4",0,-0.501467267,0,55366,4
"6","NANOG",1.703625822,1.650520965,0.87088329,79923,3
"7","TFAP2A",0,0,-0.257875175,7020,8
"8","LHX5",0.455726486,0,0,64211,5
"9","NR2F2",0.615149277,0.807859987,0.250080078,7025,3
"10","MYBL1",0.35657713,0.968155881,0,4603,1
"11","ZFP36",-0.168218996,0,0,7538,6
"12","RFX5",0,0.528117446,0.434427915,5993,7
"13","NFKB1",-0.214199804,-0.342248938,-0.187691738,4790,6
"14","DDIT3",0,0,-0.316229887,1649,8
"15","NFE2L2",-0.374858441,0,-0.241429111,4780,6
"16","TERF2IP",0.805284388,0.973995758,0,54386,3
"17","SKI",-0.662871216,-0.511475634,-0.548584447,6497,2
"18","EZH2",0,0,-0.300801642,2146,8
"19","ZBTB16",0.167253759,0.699738228,-0.309912675,7704,1
"20","ZNF148",0.37637004,0.242922909,0.502485801,7707,7
"21","VEZF1",-0.270206373,0.364649082,0.425661913,7716,7
"22","EOMES",0,0,0.295176727,8320,4
"23","CSDA",0,-0.350359451,0,8531,4
"24","LHX2",-1.118058801,0,0,9355,6
"25","ZEB2",0.225386973,0,0,9839,5
"26","ATF3",0,0.871956318,0.765102296,467,7
"27","ATF4",0.157168148,0,0,468,5
"28","BCL6",0,0.166804932,0,604,4
"29","ZFP36L1",0,-0.17152139,0,677,4
"30","FOXN3",0.485942293,0.571150954,0,1112,1
"31","CREM",0.508723557,0.508801446,0,1390,1
"32","TSC22D3",0.491422524,0.41929988,0.328277612,1831,1
"33","E2F4",0.109452163,0.445070501,0,1874,1
"34","EGR1",-0.582868468,0,0.168784926,1958,6
"35","EGR2",0,-0.294607586,-0.259112011,1959,8
"36","EMX2",0,0,0.374120412,2018,4
"37","EN2",-0.327941653,0,0,2020,6
"38","ERF",-0.151585602,0,0,2077,6
"39","ETV4",0,0,0.327660146,2118,4
"40","ETV5",-0.348773402,-0.214985881,0,2119,6
"41","FOXG1",0,0.471591782,0,2290,7
"42","RGS6",-0.197338336,-0.23396786,0,9628,6
"43","TBR1",0.621542612,0.567689374,0,10716,1
"44","NFIB",0,-0.281178828,0.316330176,4781,4
