"","Gene","NE","ERG","MRG","entrez","cluster"
"45","RELA",0.412443491,0.431660376,-0.27846662,5970,1
"46","NFIL3",0.326024279,0.337873772,0.356916601,4783,7
"47","REST",0,0,0.66497906,5978,4
"48","NFRKB",0,0.380632233,0,4798,7
"49","ISL1",0,0,-0.092425863,3670,8
"50","RFX4",0.487255508,1.402496857,0.462240877,5992,3
"51","ZFHX4",0.358873074,0.930392593,0.728224964,79776,3
"52","SIX3",-0.285604663,0.153785188,0,6496,6
"53","PRDM4",-0.309151805,0,0,11108,6
"54","SOX21",-0.490937038,0,-0.602051727,11166,2
"55","OTX1",-0.61353237,-0.534659015,0,5013,6
"56","FOXM1",0.573658411,0.978012127,0,2305,1
"57","HOXB2",0,0,0.201150872,3212,4
"58","SIX5",0.769546457,0,0,147912,5
"59","FEZF2",-0.420071357,-0.13731915,-0.264930504,55079,2
"60","SOX1",0,0.605639587,0,6656,1
"61","TEAD3",-0.309413493,0,0,7005,6
"62","MEIS1",0,0,-0.208892221,4211,8
"63","PBRM1",0,-0.578997348,-0.349870477,55193,8
"64","FOS",0,0,-0.342525719,2353,8
"65","MEIS2",-0.420692606,-0.326290843,0,4212,6
"66","HES4",0,0,-1.434875389,57801,8
"67","ZNF219",-0.22621938,0,-0.37226357,51222,8
"68","NFIA",0.542516557,0.847681918,0,4774,1
"69","ZNF441",-0.414979037,0,-0.211713398,126068,6
"70","LCOR",0.343433703,-0.142390383,0,84458,5
"71","HOPX",0.663416442,0,0,84525,5
"72","SLC2A4RG",-0.319028719,0,-0.410298151,56731,2
"73","BARHL1",0,0,-0.643277356,56751,8
"74","ZSCAN18",0,-0.344920908,0,65982,4
"75","ZNF521",0.157724855,0.514369838,0,25925,1
"76","IRX3",0.327559054,0,0,79191,5
"77","KLF13",-0.292468106,0.595211866,0,51621,7
"78","ATOH8",0.690013561,1.032521685,0.17923884,84913,3
"79","SIX4",0,0.672223379,0,51804,1
"80","ID3",-0.513841614,0,-0.854863044,3399,2
"81","ID4",0,0,-0.159525187,3400,8
"82","ZEB1",0.448924513,0,0.418724355,6935,5
"83","NEUROD4",0.282206511,0.691961976,0,58158,1
"84","ATF5",0.581080615,0.745334772,0,22809,1
"85","TGIF2",0,0,0.118770847,60436,4
"86","SOX8",0.465926365,0,0,30812,5
"87","HES5",0,0,-1.973938807,388585,8
"88","OLIG2",-0.323380762,-0.408793346,0,10215,6
"89","ZNF423",1.109914533,0.673182571,0,23090,3
"90","PBX3",0.192934137,-0.18345843,-0.143735078,5090,8
"91","CIC",-0.692654037,-0.146956257,0,23152,6
"92","JDP2",-0.522116503,-0.216474265,0,122953,6
"93","HMGB2",0.399713523,0,0,3148,5
"94","ID1",0,0,-0.304124605,3397,8
"95","ARNT2",0.284601569,0.375755317,0,9915,1
"96","SOX11",0,-0.444183278,-0.195594672,6664,8
"97","NR4A1",0,-0.438646213,0,3164,4
"98","TSHZ1",0.291549469,0.376606703,0,10194,1
"99","TFAP2B",-0.591205333,-0.455813245,-0.335602587,7021,2
"100","NR6A1",-0.624182823,0,-0.644464565,2649,2
"101","SALL3",-0.121820576,0,0,27164,6
"102","XBP1",0.325041865,0,0,7494,5
"103","YY1",-0.329078411,0.348732841,0,7528,7
"104","BAZ2B",-0.229065169,0,0.363425298,29994,4
"105","ZIC3",-0.413039982,-0.206686467,-0.372681786,7547,2
"106","FAM171B",-0.289125504,0,-0.247946822,165215,6
"107","TGIF1",0,0.099505654,-0.212944379,7050,8
"108","ZBTB7B",-0.355726612,0,-0.885088723,51043,2
"109","HEY1",0,0,0.37362165,23462,4
"110","THRA",0.41051869,0.599945455,0,7067,1
"111","CREB3",0.210583239,0,0.343450251,10488,4
"112","PBX1",-0.326990424,0,0.360664628,5087,4
"113","PBX2",0.171126225,0.305088284,0.208921045,5088,7
"114","GBX2",0.905642958,0,0,2637,5
"115","MXI1",0,-0.230934062,-0.386992144,4601,8
"116","GLI3",0.284824727,-0.255906686,0,2737,5
"117","MYBL2",-0.346099058,0.527949474,0.368850217,4605,7
"118","TWIST1",1.19847915,1.091031068,0.890032254,7291,3
"119","NEUROG2",-0.409168655,0,0.414898243,63973,4
"120","NPAS3",0,0,0.303432525,64067,4
"121","ID2",-0.326469382,0,0,3398,6
"122","CUX2",0.646466731,0,0,23316,5
"123","KLF10",0.392678478,0.771917478,0.360778895,7071,1
"124","MEIS3",-0.201013766,0.256264651,0,4213,7
"125","CHD2",0,0,-0.360691724,1106,8
"126","RXRA",-1.243606387,-0.873188098,0,6256,2
"127","RXRB",0.254394404,0,0,6257,5
"128","HMGA2",-0.703824955,0,-0.356580851,8091,2
"129","TTF1",0,0.305475834,0.22599593,7080,7
"130","MGMT",0,0,1.125483038,4255,4
"131","BCL11B",0,0,-0.364465389,64919,8
"132","MAX",-0.299581914,0,0.243474189,4149,4
"133","FOXO3",0.486622588,0,0.557265535,2309,5
"134","PLXNA3",1.058636107,1.025230838,0,55558,3
"135","PLXNB2",0.423213347,0.423719159,0.224744241,23654,1
"136","PLXNB3",0.395606181,-0.586903595,-0.274057192,5365,5
"137","NCOR2",-0.313494471,1.050601432,0.465737082,9612,7
"138","PLXNA2",0,-0.327057212,0,5362,4
"139","ZIC2",0.632213442,0,-0.671911125,7546,8
"140","ZIC4",0.373617316,0.491360455,0.229483277,84107,1
"141","ZNF664",0,-0.288772282,-0.219886482,144348,8
"142","ZIC5",-0.484806754,-0.35959643,0,85416,6
"143","ZIC1",1.282627232,0,0,7545,5
"144","ZNF385B",0.5316655,0,0,151126,5
"145","DSP",0.311651615,0.437005993,-0.139300952,1832,1
"146","DACH1",0.214567679,0,0,1602,5
"147","LIN28B",0.203285712,0.425592693,-0.263576881,389421,1
"148","RCOR2",1.242130295,1.49362604,0.517735666,283248,3
"149","BOLA3",-0.48633576,-0.415174852,0,388962,6
"150","ZNF608",-0.234012065,0,0,57507,6
"151","ZNF618",-0.311796855,-0.246632674,-0.33023689,114991,2
"152","ZNF503",0,0,-0.420633155,84858,8
"153","ZNF69",-0.306513629,-0.398523517,-0.315821135,7620,2
"154","GPATCH8",-0.820622508,0,0,23131,6
"155","DMRTA1",0,0.856764516,0,63951,1
"156","CENPB",0.180215356,-0.304272251,-0.286634522,1059,8
"157","C10orf140",0.293085514,0,0,387640,5
"158","SALL2",-0.329349135,0,0,6297,6
"159","TCF25",-0.145442835,-0.423345204,0,22980,6
"160","ZNF292",0.388433192,0.600180559,0,23036,1
"161","POU3F2",0,0.421335261,0.37547147,5454,7
"162","ZNF436",0.673810581,1.157873454,0.522854299,80818,3
"163","ZMAT1",0,0,0.367906773,84460,4
"164","SREBF1",-0.426372542,-0.352581837,0,6720,6
"165","FOXP4",-0.246870637,0,0,116113,6
"166","RPA2",0.332540839,0.547395809,0.411637794,6118,1
"167","NR3C1",0.378097307,0.612660935,0.180459141,2908,1
"168","ZBTB20",0.385483463,-0.289956765,0,26137,5
"169","PLAGL1",0.46521374,0,0.359349974,5325,5
"170","NFATC4",0,0,0.608861512,4776,4
"171","CHD7",0.727074825,0.825883868,0.679598925,55636,3
"172","ZBED1",0,0,0.897320138,9189,4
"173","TOX3",0.418629128,0.695818141,0.748400578,27324,3
"174","EBF4",0.122382247,0.773682945,0,57593,1
"175","ZNF428",-0.41387208,0,0,126299,6
"176","TCF4",0,-0.239086735,0.242283118,6925,4
"177","TCF12",-0.819991445,0.796515542,0.740604885,6938,7
"178","RC3H2",0,0.364281616,0.396798539,54542,7
"179","H1F0",-0.563078087,0,0,3005,6
"180","PLXND1",0.303567132,0.458621015,0.548436883,23129,7
"181","NR2F1",0,0,0.40893454,7025,4
"182","JUN",-0.195248028,0,0,3725,6
"183","MYCN",0,0.949402222,0,4613,1
"184","CBX2",-0.947463452,0,0,84733,6
"185","ZNF579",0,0,-0.196013822,163033,8
