"","Gene","NE","ERG","MRG","entrez","cluster"
"117","MYBL2",-0.346099058,0.527949474,0.368850217,4605,2
"118","TWIST1",1.19847915,1.091031068,0.890032254,7291,1
"119","NEUROG2",-0.409168655,0,0.414898243,63973,2
"120","NPAS3",0,0,0.303432525,64067,2
"121","ID2",-0.326469382,0,0,3398,2
"122","CUX2",0.646466731,0,0,23316,1
"123","KLF10",0.392678478,0.771917478,0.360778895,7071,1
"124","MEIS3",-0.201013766,0.256264651,0,4213,2
"125","CHD2",0,0,-0.360691724,1106,2
"126","RXRA",-1.243606387,-0.873188098,0,6256,2
"127","RXRB",0.254394404,0,0,6257,2
"128","HMGA2",-0.703824955,0,-0.356580851,8091,2
"129","TTF1",0,0.305475834,0.22599593,7080,2
"130","MGMT",0,0,1.125483038,4255,1
"131","BCL11B",0,0,-0.364465389,64919,2
"132","MAX",-0.299581914,0,0.243474189,4149,2
"133","FOXO3",0.486622588,0,0.557265535,2309,1
"134","PLXNA3",1.058636107,1.025230838,0,55558,1
"135","PLXNB2",0.423213347,0.423719159,0.224744241,23654,1
"136","PLXNB3",0.395606181,-0.586903595,-0.274057192,5365,2
"137","NCOR2",-0.313494471,1.050601432,0.465737082,9612,1
"138","PLXNA2",0,-0.327057212,0,5362,2
"139","ZIC2",0.632213442,0,-0.671911125,7546,2
"140","ZIC4",0.373617316,0.491360455,0.229483277,84107,1
"141","ZNF664",0,-0.288772282,-0.219886482,144348,2
"142","ZIC5",-0.484806754,-0.35959643,0,85416,2
"143","ZIC1",1.282627232,0,0,7545,1
"144","ZNF385B",0.5316655,0,0,151126,1
"145","DSP",0.311651615,0.437005993,-0.139300952,1832,1
"146","DACH1",0.214567679,0,0,1602,2
"147","LIN28B",0.203285712,0.425592693,-0.263576881,389421,1
"148","RCOR2",1.242130295,1.49362604,0.517735666,283248,1
"149","BOLA3",-0.48633576,-0.415174852,0,388962,2
"150","ZNF608",-0.234012065,0,0,57507,2
"151","ZNF618",-0.311796855,-0.246632674,-0.33023689,114991,2
"152","ZNF503",0,0,-0.420633155,84858,2
"153","ZNF69",-0.306513629,-0.398523517,-0.315821135,7620,2
"154","GPATCH8",-0.820622508,0,0,23131,2
"155","DMRTA1",0,0.856764516,0,63951,1
"156","CENPB",0.180215356,-0.304272251,-0.286634522,1059,2
"157","C10orf140",0.293085514,0,0,387640,2
"158","SALL2",-0.329349135,0,0,6297,2
"159","TCF25",-0.145442835,-0.423345204,0,22980,2
"160","ZNF292",0.388433192,0.600180559,0,23036,1
"161","POU3F2",0,0.421335261,0.37547147,5454,1
"162","ZNF436",0.673810581,1.157873454,0.522854299,80818,1
"163","ZMAT1",0,0,0.367906773,84460,2
"164","SREBF1",-0.426372542,-0.352581837,0,6720,2
"165","FOXP4",-0.246870637,0,0,116113,2
"166","RPA2",0.332540839,0.547395809,0.411637794,6118,1
"167","NR3C1",0.378097307,0.612660935,0.180459141,2908,1
"168","ZBTB20",0.385483463,-0.289956765,0,26137,2
"169","PLAGL1",0.46521374,0,0.359349974,5325,1
"170","NFATC4",0,0,0.608861512,4776,2
"171","CHD7",0.727074825,0.825883868,0.679598925,55636,1
"172","ZBED1",0,0,0.897320138,9189,2
"173","TOX3",0.418629128,0.695818141,0.748400578,27324,1
"174","EBF4",0.122382247,0.773682945,0,57593,1
"175","ZNF428",-0.41387208,0,0,126299,2
"176","TCF4",0,-0.239086735,0.242283118,6925,2
"177","TCF12",-0.819991445,0.796515542,0.740604885,6938,2
"178","RC3H2",0,0.364281616,0.396798539,54542,1
"179","H1F0",-0.563078087,0,0,3005,2
"180","PLXND1",0.303567132,0.458621015,0.548436883,23129,1
"181","NR2F1",0,0,0.40893454,7025,2
"182","JUN",-0.195248028,0,0,3725,2
"183","MYCN",0,0.949402222,0,4613,1
"184","CBX2",-0.947463452,0,0,84733,2
"185","ZNF579",0,0,-0.196013822,163033,2
